00001,garcia.com,40
00002,ramirez.biz,29
00003,soto.net,25
00004,williams.com,73
00005,sanchez-flores.com,40
00006,shepard.biz,50
00007,norris.com,23
00008,reyes.com,10
00009,molina.com,25
00010,berry.com,36
00011,nelson-williams.com,89
00012,young-oconnor.com,34
00013,malone-solomon.info,25
00014,hopkins.com,86
00015,lawson.com,56
00016,herrera.biz,71
00017,hill-horton.net,33
00018,davis.org,82
00019,rodriguez-nichols.net,15
00020,lee-perez.info,44
00021,hernandez.info,65
00022,hill.biz,32
00023,norton.com,37
00024,walker.com,67
00025,stewart-coleman.com,94
00026,james.com,86
00027,chen-allen.com,7
00028,davis.com,9
00029,freeman.com,14
00030,barnes-garcia.net,34
00031,garcia.com,85
00032,roberts-jensen.com,68
00033,duarte.info,95
00034,anderson-thomas.com,82
00035,dunn.com,34
00036,anderson-stephenson.info,13
00037,johnson-bryan.com,75
00038,castillo-campbell.com,65
00039,bradley-gallagher.com,35
00040,lynn-rivera.com,16
00041,oconnell.org,46
00042,walters.org,67
00043,yang-smith.info,47
00044,clark-hughes.com,24
00045,miller-thompson.info,44
00046,harris-escobar.info,21
00047,jones.com,51
00048,boyd.net,48
00049,walton.info,41
00050,roberts.com,65
00051,curtis.com,33
00052,ross-lopez.com,30
00053,norton-wells.com,37
00054,cooper-may.com,38
00055,edwards-briggs.org,68
00056,williams.com,100
00057,jackson.com,39
00058,diaz.com,30
00059,cruz-gutierrez.com,96
00060,savage.com,76
00061,jones.com,25
00062,george.com,23
00063,lee.info,22
00064,andersen.com,77
00065,swanson-macias.com,39
00066,duncan.com,11
00067,burgess.info,7
00068,hoffman.net,95
00069,sims.org,85
00070,stephens.com,40
00071,munoz-smith.com,30
00072,franco.com,25
00073,watson.com,9
00074,meyer.com,78
00075,reed-joseph.com,99
00076,rollins.com,69
00077,marshall.com,49
00078,thomas-harrington.com,35
00079,scott.net,9
00080,stewart.net,64
00081,johnson.com,84
00082,robinson.com,74
00083,duffy.com,42
00084,harris-lewis.com,69
00085,boone.biz,8
00086,fox.biz,75
00087,smith.com,70
00088,gill-burke.info,49
00089,weeks.com,52
00090,lawson-williams.biz,43
00091,duke-thompson.net,57
00092,phelps.org,21
00093,ramirez-hunt.info,58
00094,russell-shannon.com,86
00095,dickerson-everett.com,59
00096,mckenzie.com,52
00097,wood.org,96
00098,reed-chen.net,29
00099,burgess.com,83
00100,harris.com,44
00101,evans.biz,51
00102,petersen.biz,30
00103,carter-mathews.com,30
00104,hill-hall.com,23
00105,cooper.com,99
00106,hunt-lewis.com,87
00107,johnson-rivera.com,5
00108,hill-macdonald.net,94
00109,lee.com,5
00110,morrison.org,74
00111,gutierrez.com,83
00112,hall.biz,95
00113,peters.com,38
00114,roberts.info,11
00115,roberts-hall.com,63
00116,lewis.com,41
00117,wilson-rogers.com,63
00118,kim.net,100
00119,pratt-kelly.info,56
00120,little-wallace.com,57
00121,may.com,18
00122,smith.biz,15
00123,hodges.com,67
00124,wright-thompson.com,17
00125,collins-arias.biz,54
00126,hernandez.com,6
00127,goodwin-lopez.biz,83
00128,rodriguez.com,35
00129,carpenter.com,25
00130,ramirez.biz,52
00131,wright.com,53
00132,morris.biz,41
00133,black.com,83
00134,hines-pena.com,27
00135,sanchez.com,89
00136,jones.com,81
00137,strong.info,29
00138,patterson.net,67
00139,warner.org,50
00140,vazquez.com,51
00141,deleon-west.com,11
00142,morris.com,50
00143,jordan.com,0
00144,stephenson-anderson.net,82
00145,hill-miller.biz,0
00146,dean.com,77
00147,bond-payne.com,33
00148,copeland-snyder.com,33
00149,sherman.biz,13
00150,lambert.info,19
00151,jackson.com,68
00152,chen.com,95
00153,munoz-collins.biz,21
00154,walker.com,32
00155,cooper.com,58
00156,mitchell.biz,10
00157,mueller.com,48
00158,howell-carter.com,78
00159,schmidt-alexander.org,12
00160,thomas.biz,49
00161,alexander-mcfarland.com,80
00162,arnold.biz,35
00163,walker-boyd.info,94
00164,perez.com,84
00165,tran.biz,59
00166,smith-roberson.com,60
00167,wilson.com,90
00168,lopez-hancock.com,68
00169,torres.biz,50
00170,walker.com,70
00171,walker.com,33
00172,sanders-parks.net,81
00173,roy.net,11
00174,johnson-dalton.com,81
00175,jackson-dalton.com,19
00176,sutton.net,48
00177,gonzales.com,93
00178,hill.org,1
00179,morris-parker.com,64
00180,gardner.org,40
00181,smith.com,100
00182,carney-mullen.org,22
00183,white-chambers.com,76
00184,martinez.com,96
00185,kramer-sampson.com,85
00186,smith-parker.com,41
00187,rodriguez.com,72
00188,cook.biz,3
00189,davis.com,69
00190,kim.com,74
00191,orr-knight.com,62
00192,evans.info,33
00193,mcdonald-hoover.com,28
00194,owens.net,23
00195,chavez-reyes.net,59
00196,brown-ibarra.com,9
00197,patel-moore.com,52
00198,fernandez-gonzalez.com,32
00199,anderson-harris.com,66
00200,graves-rice.info,27
00201,medina.com,83
00202,jackson.com,68
00203,simmons.org,64
00204,patrick.org,28
00205,caldwell-smith.com,93
00206,smith.biz,86
00207,riggs.com,88
00208,martin-hansen.com,0
00209,foster-flores.info,17
00210,myers.com,2
00211,wright-cole.com,1
00212,lara-caldwell.com,99
00213,jensen-cruz.com,25
00214,gomez.net,15
00215,chavez.info,67
00216,reed.com,85
00217,white.org,67
00218,green-smith.net,16
00219,hubbard-raymond.biz,63
00220,nelson-nelson.com,18
00221,molina.com,26
00222,chavez-hunter.com,75
00223,owens.com,69
00224,ross.org,4
00225,fox.com,4
00226,dougherty.com,60
00227,mejia.biz,51
00228,murray.com,57
00229,gonzales.biz,10
00230,hughes.com,23
00231,marsh-oneill.info,93
00232,padilla-howe.com,56
00233,pratt.info,88
00234,morgan-price.com,29
00235,rivera.info,91
00236,medina.com,16
00237,manning-coleman.org,10
00238,white-rowland.com,64
00239,mullins.com,66
00240,nelson.net,99
00241,howard-flores.com,46
00242,johnson.info,52
00243,gonzalez-vargas.com,82
00244,foster-larsen.com,13
00245,fuller.net,86
00246,hall.biz,65
00247,williams-herrera.org,69
00248,hayes.info,60
00249,harper.info,70
00250,white-richard.com,63
00251,armstrong.org,17
00252,edwards-thomas.org,38
00253,mcbride.com,54
00254,franco.net,38
00255,salazar.com,15
00256,alvarez.com,47
00257,randall-miller.com,82
00258,johnson.com,94
00259,wells.com,74
00260,villegas.com,27
00261,ayala.net,51
00262,hill-morrison.com,9
00263,avery-farmer.com,80
00264,smith.com,50
00265,estes.com,55
00266,bishop.info,38
00267,miller-williams.com,14
00268,lucas.biz,1
00269,kim-wagner.info,66
00270,cain.biz,47
00271,griffith-mccoy.com,82
00272,stanley-blanchard.org,0
00273,love.com,42
00274,shields-sparks.org,91
00275,morse-stone.com,12
00276,cisneros-williams.net,69
00277,blackwell-jones.com,69
00278,tanner.com,34
00279,franco.com,7
00280,robles-johnson.net,79
00281,ochoa.info,14
00282,hodges.com,2
00283,sanchez.com,48
00284,yang.com,90
00285,austin-russell.com,78
00286,turner-taylor.com,21
00287,turner-solis.net,14
00288,lester.com,6
00289,jackson.biz,73
00290,taylor.com,67
00291,newman.com,6
00292,meyer.com,98
00293,wong.com,14
00294,ward-lester.org,67
00295,walters-carson.com,42
00296,morton-saunders.info,54
00297,ramos-arnold.com,14
00298,thomas-rodriguez.com,84
00299,lopez.com,7
00300,carter-leon.com,69
00301,harris.org,89
00302,lane-wall.info,11
00303,obrien.info,13
00304,ellis.com,62
00305,willis.biz,39
00306,bennett-harrison.com,58
00307,ryan.com,1
00308,white-sanchez.com,24
00309,bailey.com,87
00310,smith.com,7
00311,baker.com,26
00312,lane.com,30
00313,campbell-taylor.biz,95
00314,bishop-gregory.info,45
00315,francis.info,60
00316,hicks.com,46
00317,spencer.info,19
00318,brooks.com,94
00319,todd.com,0
00320,west.com,6
00321,schmidt.com,97
00322,moore.com,21
00323,boyd.com,54
00324,larson.net,0
00325,mckay.com,51
00326,olson-young.org,94
00327,leon-charles.com,78
00328,guerrero.biz,79
00329,mccullough.com,38
00330,lopez-walters.biz,48
00331,jones-carroll.biz,84
00332,underwood.com,46
00333,spence.com,10
00334,miller-baxter.net,65
00335,morris.com,38
00336,hayes.org,74
00337,coleman.org,93
00338,garrett.info,30
00339,meyers.com,52
00340,steele-harvey.org,32
00341,khan-lewis.com,12
00342,scott.biz,94
00343,stewart-hernandez.net,5
00344,sherman.com,89
00345,martinez.biz,54
00346,miller.info,93
00347,gentry-rogers.biz,6
00348,woods.org,47
00349,hendrix.biz,77
00350,francis-davidson.info,51
00351,stewart-smith.com,14
00352,montoya-pierce.com,47
00353,hughes.com,87
00354,hunter.net,76
